title,content
嵌入式软件开发工程师,熟悉ARM体系结构
嵌入式软件开发工程师,熟悉Linux环境
嵌入式软件开发工程师,熟悉ONVIF
后端架构师,熟悉阿里云
后端架构师,熟悉docker容器化
数据库工程师,了解源数据的数据质量
数据库工程师,精通SQL
小程序开发工程师,熟练掌握使用主流流行前端组件和框架
小程序开发工程师,精通Java后台语言
小程序开发工程师,熟悉MYSQL数据库
小程序开发工程师,精通使用javascript
Java开发工程师,熟练掌握使用java开发语言
Java开发工程师,熟悉j2ee开发体系
Java开发工程师,熟练掌握mvc设计模式
Java开发工程师,熟悉Spring
Java开发工程师,熟悉关系型数据库
Java开发工程师,熟练掌握使用Tomcat
Java开发工程师,熟练掌握使用前端框架
Java开发工程师,熟悉linux系统
Java开发工程师,熟练掌握基本的命令
上位机软件工程师,熟悉C#语言
H5开发工程师,熟悉常见跨浏览器问题
H5开发工程师,了解必要的计算机网络协议
H5开发工程师,熟悉主流JavaScript框架和库
H5开发工程师,了解框架设计原理
H5开发工程师,熟练掌握使用HTML5
软件开发工程师,熟悉Spring
软件开发工程师,熟悉vue
软件开发工程师,熟练掌握一种数据库
软件工程师,熟练掌握C++
软件工程师,熟练掌握使用
软件工程师,熟悉网络知识
软件工程师,熟练掌握网络socket编程
白盒测试工程师,精通Android开发
白盒测试工程师,了解各类型游戏
白盒测试工程师,熟练掌握系统测试的方法与原理
白盒测试工程师,熟悉一门
白盒测试工程师,熟悉java语言
Web前端开发工程师,精通html
Web前端开发工程师,熟练掌握编码代码
Web前端开发工程师,熟练掌握web标准
Java开发工程师,了解公司业务
Java开发工程师,精通Spring
Java开发工程师,熟练掌握使用Mysql基本操作
Java开发工程师,熟悉大容量
Java开发工程师,了解微服务架构和云计算技术
Java开发工程师,熟练掌握的使用Java开发环境
Java开发工程师,熟练掌握的使用软件版本控制工具Git
Java开发工程师,熟悉JAVA
Java开发工程师,熟练掌握使用SpringBoot
Java开发工程师,熟练掌握使用mysql
Java开发工程师,熟悉SQL语法
Java开发工程师,熟练掌握使用
Java开发工程师,了解Linux操作系统
Java开发工程师,熟练掌握使用常用的linux命令
PHP开发工程师,了解主流PHP开发模板及框架
PHP开发工程师,熟悉Nginx
PHP开发工程师,熟悉MYSQL
PHP开发工程师,熟悉常见的数据结构和算法
系统架构师,精通java
系统架构师,熟悉分布式
系统架构师,熟悉Web
系统架构师,熟悉oracle
系统架构师,熟练掌握linux
数据分析师,熟练掌握
数据分析师,熟练掌握MYSQL
音频驱动工程师,熟悉高通
音频驱动工程师,熟悉高通
音频驱动工程师,熟练掌握使用
DB2工程师,熟练掌握阅读理解相关英文技术资料
Java开发工程师,熟练掌握使用SpringMVC
Java开发工程师,熟悉Oracle
Java开发工程师,熟悉Linux
前端开发工程师,熟练掌握HTML
前端开发工程师,熟悉webpack
前端开发工程师,熟练掌握使用vue框架
前端开发工程师,熟悉git
前端开发工程师,熟悉微信
软件工程师,熟悉项目的需求规划说明
软件工程师,熟练掌握应用多种JAVA设计模式
软件工程师,熟练掌握应用
软件工程师,熟练掌握spring
软件工程师,熟练掌握数据库
软件工程师,熟练掌握SQL查询优化
嵌入式软件工程师,熟练掌握
系统集成工程师,了解系统集成行业特征
系统集成工程师,熟练掌握使用各类办公软件
Python开发工程师,熟练掌握运用
Python开发工程师,熟练掌握新技术
iOS开发工程师,熟练掌握
iOS开发工程师,熟练掌握os下多线程操作
iOS开发工程师,熟悉HTTP
iOS开发工程师,熟练掌握使用js
iOS开发工程师,熟练掌握
嵌入式软件工程师,熟悉一种
嵌入式软件工程师,熟练掌握C
嵌入式软件工程师,熟练掌握软件工程概念
嵌入式软件工程师,熟悉软件开发
嵌入式软件工程师,熟练掌握单元测试方法和工具
UI设计师,精通Photoshop
研发工程师,熟悉JSP
研发工程师,熟练掌握SQL
研发工程师,了解软件工程和项目管理流程
APP开发工程师,熟练掌握使用
APP开发工程师,熟悉Android
APP开发工程师,熟练掌握Android
安全审计工程师,熟悉大数据
安全审计工程师,熟悉数据分析
图书馆系统运维工程师,熟练掌握基本的数据分析知识和数据分析软件
.net软件工程师,熟悉.NET
.net软件工程师,熟练掌握运用
.net软件工程师,熟练掌握C#语言
.net软件工程师,熟练掌握SQL语言
算法工程师,熟悉Python
算法工程师,熟悉Numpy
算法工程师,精通C++
算法工程师,熟练掌握卡尔曼滤波算法
算法工程师,熟练掌握使用OpenCV
算法工程师,熟悉深度学习
系统软件工程师,精通W
系统软件工程师,熟练掌握C++语言
Java开发工程师,精通Java语言
Java开发工程师,熟练掌握HTML
Java开发工程师,熟练掌握Spring
Java开发工程师,熟练掌握使用MySQL
Java开发工程师,熟练掌握使用和配置主流的应用服务器
Java开发工程师,熟悉视频
Java开发工程师,熟练掌握使用Java常见框架
Java开发工程师,熟悉html
Java开发工程师,熟悉Web
Java开发工程师,熟悉Oracle
PHP开发工程师,熟练掌握常用设计模式
PHP开发工程师,了解linux操作系统
PHP开发工程师,熟悉常用shell命令
PHP开发工程师,了解PHP相关的开源框架和项目
PHP开发工程师,熟悉nginx
PHP开发工程师,熟练掌握相关Web开发技术
PHP开发工程师,熟悉mysql
PHP开发工程师,熟练掌握关系数据库理论
PHP开发工程师,熟悉设计模式
运维工程师,熟悉SQL数据库
UI设计师,熟练掌握应用
软件工程师,熟悉计算机体系结构
嵌入式软件工程师,精通C
Java开发工程师,熟悉面向对象设计开发
Java开发工程师,熟悉多线程程序开发
Java开发工程师,熟练掌握redis
Java开发工程师,熟练掌握运用
Java开发工程师,熟悉spring
开发工程师,熟练掌握spring
开发工程师,熟悉微服务架构
开发工程师,熟练掌握java多线程编程
开发工程师,熟练掌握使用
开发工程师,熟悉linux
开发工程师,了解redis
开发工程师,了解MongoDB等文档数据库
开发工程师,熟悉html
开发工程师,熟悉互联网
Java开发工程师,精通JAVA语言基础
Java开发工程师,熟练掌握使用Spring
Java开发工程师,熟悉软件工程文档的编写
Java开发工程师,精通JAVA语言基础
Java开发工程师,熟练掌握使用Spring
Java开发工程师,熟悉微服务框架和技术
图形图像工程师,精通C#
图形图像工程师,熟悉设计模式
图形图像工程师,熟悉计算机原理
图形图像工程师,熟练掌握一种Shader语言
Java开发工程师,熟悉微服务架构
Java开发工程师,熟练掌握RSTful传输格式
Java开发工程师,熟练掌握使用maven
Java开发工程师,熟练掌握sql
软件测试工程师,熟悉软件测试理论和方法
软件测试工程师,熟悉软件测试流程
软件测试工程师,熟悉SQL
软件测试工程师,熟悉一种
Python开发工程师,熟练掌握使用Python
Python开发工程师,熟练掌握java
Java开发工程师,熟练掌握使用Sql语言
Java开发工程师,熟练掌握使用Oracle和Mysql
Java开发工程师,熟练掌握基本的Sql优化
Java开发工程师,熟练掌握使用Maven
Java开发工程师,精通Java语言
Java开发工程师,熟练掌握使用SpringMVC
Java开发工程师,精通Mysql数据库
Java开发工程师,熟练掌握使用Redis
Java开发工程师,熟练掌握使用HTML
Java开发工程师,熟练掌握使用
.NET软件开发工程师,熟练掌握使用
Java开发工程师,了解计算机图形编程
Android开发工程师,熟悉常用的网络协议
Android开发工程师,熟悉Android各版本
Android开发工程师,熟悉UI
Android开发工程师,熟悉Android
Android开发工程师,熟悉Java语言
数据开发工程师,熟练掌握运用linux系统
数据开发工程师,熟练掌握商业智能
数据开发工程师,了解大数据平台架构与相关技术
.NET开发工程师,精通C#语言
.NET开发工程师,熟悉.Net框架
.NET开发工程师,熟练掌握
.NET开发工程师,熟练掌握socket
.NET开发工程师,熟练掌握主流数据库
.NET开发工程师,熟练掌握编写SQL语句
.NET开发工程师,熟悉SQL性能优化
.NET开发工程师,熟悉数据结构
.NET开发工程师,熟悉面向对象编程思想
iOS开发工程师,熟练掌握MVC架构模式及多种设计模式
iOS开发工程师,精通iOS系统设计规范
iOS开发工程师,熟悉无线网络应用开发
iOS开发工程师,精通socket
iOS开发工程师,熟悉iPhone
iOS开发工程师,熟练掌握阅读英文技术文档
Web前端开发工程师,熟悉HTML
Web前端开发工程师,熟悉react
Web前端开发工程师,熟练掌握组件化的开发方式
Web前端开发工程师,熟悉前后端分离
Web前端开发工程师,熟悉微信小程序
BI工程师,熟悉mysql等数据库
系统架构师,熟悉微服务架构
系统架构师,精通Struts
系统架构师,熟练掌握HTML
系统架构师,熟悉Dubbo
系统架构师,熟悉开源框架
系统架构师,熟悉分布式
系统架构师,熟练掌握应用Zookeeper
Android开发工程师,熟悉Android平台UI设计
Android开发工程师,熟悉常用布局
Android开发工程师,熟练掌握使用
Android开发工程师,熟悉Js
Android开发工程师,熟悉使用第三方SDK的使用
Android开发工程师,熟悉Android系统架构及相关技术
iOS开发工程师,熟悉IO
iOS开发工程师,熟悉蓝牙
WEBGL三维工程师,熟练掌握WebGL的开发
WEBGL三维工程师,精通原生JavaScript开发
WEBGL三维工程师,熟悉三维图形图像的理论基础
Web前端开发工程师,了解JavaScript语言
Web前端开发工程师,熟悉Vue
系统架构师,精通数据结构
系统架构师,熟练掌握主流开发工具和开发技能
系统架构师,熟练掌握操作
软件工程师,熟悉基于微软平台的解决方案
软件工程师,熟悉项目管理基本流程
软件工程师,熟悉软件开发流程
软件工程师,熟练掌握使用
软件工程师,精通C#语言
软件工程师,熟悉mvc
软件工程师,精通Oracle
软件工程师,熟练掌握SQL语法
自然语言处理工程师,精通C++
自然语言处理工程师,熟练掌握使用
自然语言处理工程师,熟练掌握
云计算研发工程师,熟练掌握系统软件的设计开发工作
云计算研发工程师,熟练掌握Java
云计算研发工程师,熟练掌握
云计算研发工程师,熟悉敏捷软件开发流程
三维开发工程师,精通图形学原理和三维几何
三维开发工程师,熟悉面向对象编程
三维开发工程师,熟悉设计模式
三维开发工程师,熟练掌握shader编程
三维开发工程师,了解常用的三维格式数据的处理
软件测试工程师,熟练掌握
软件测试工程师,熟悉Linux系统基本操作命令
软件测试工程师,熟练掌握数据库基本的SQL语句
软件测试工程师,熟练掌握
Java开发工程师,熟练掌握SSM等主流开发框架
Java开发工程师,熟悉Ajax
Java开发工程师,熟悉Js
Java开发工程师,熟练掌握使用Tomcat
Java开发工程师,熟悉服务器
Java开发工程师,熟悉MySql等数据库
数据分析师,熟悉MySql
数据分析师,熟悉Hadoop
前端架构师,熟练掌握地进行页面维护
前端架构师,熟练掌握各种Web前端技术
前端架构师,熟练掌握使用angular
Java开发工程师,熟悉SOA
Java开发工程师,精通Java
Java开发工程师,熟练掌握使用SQL
Java开发工程师,熟练掌握PHP
Java开发工程师,熟悉JAVA
Java开发工程师,熟悉阿里云
Java开发工程师,精通MySQL
Java开发工程师,精通NoSQL
Java开发工程师,熟练掌握分布式通讯框架
Java开发工程师,熟练掌握通讯的相关知识
Java开发工程师,熟练掌握linux
软件应用工程师,熟悉TCP
软件应用工程师,熟悉ROS
系统工程师,熟悉VMWare
系统工程师,熟悉网络
系统工程师,了解Oracle
系统工程师,了解SQL语言
系统工程师,了解JAVA
嵌入式微处理器软件工程师,熟悉32bit单片机体系架构
Java开发工程师,熟练掌握Linux
Java开发工程师,熟悉分布式计算和存储
Java开发工程师,熟悉多线程高性能系统的设计
Java开发工程师,熟悉mysql
系统工程师,熟练掌握操作
.NET开发工程师,精通c#
.NET开发工程师,熟练掌握使用js
.NET开发工程师,熟悉Oracle
.NET开发工程师,熟练掌握使用
系统架构师,精通物联网技术原理
系统架构师,熟悉物联网相关技术趋势
系统架构师,了解多种传感器的工作方式
系统架构师,熟悉无线传感网络
系统架构师,了解各种通讯网络的传输协议
系统架构师,精通主流的大数据及云计算核心技术
微服务运维工程师,熟悉Linux系统
微服务运维工程师,熟悉常用数据库
微服务运维工程师,熟练掌握使用
微服务运维工程师,熟悉Jenkins
微服务运维工程师,熟练掌握docker
微服务运维工程师,了解基本的网络知识
微服务运维工程师,熟悉持续集成
Java软件工程师,熟悉Java
Java软件工程师,熟悉Spring
前端开发工程师,熟悉HTML5
前端开发工程师,了解浏览器兼容及网页优化
前端开发工程师,熟悉jQuery
前端开发工程师,熟练掌握一种热门前端框架
前端开发工程师,熟练掌握较深
前端开发工程师,熟悉Node.js
Python开发工程师,精通Python
Python开发工程师,熟悉Python
Python开发工程师,熟悉常见关系型数据库
UI设计师,了解当代领先的平面设计趋势
UI设计师,熟练掌握设计工具
软件测试工程师,熟练掌握软件测试
软件测试工程师,熟悉软件开发和测试流程
软件测试工程师,熟悉HTTP协议
软件测试工程师,熟悉测试
软件测试工程师,熟悉Maven
软件测试工程师,了解中医药行业业务
安卓开发工程师,熟悉Android
软件工程师,熟悉.net平台
软件工程师,熟悉MVC
软件工程师,熟悉SqlServer
软件工程师,熟悉ORM
软件工程师,熟悉TCP
软件工程师,了解工业控制类硬件相关知识
Python少儿编程老师,熟练掌握Python
图像算法工程师,熟悉C
图像算法工程师,熟练掌握应用
图像算法工程师,熟练掌握运用matlab进行算法验证
图像算法工程师,熟练掌握
Java开发工程师,熟练掌握springboot
Java开发工程师,熟练掌握nginx部署
Java开发工程师,熟练掌握设计模式
Java开发工程师,熟悉前后端开发
Java开发工程师,熟悉vue.js开发
Java开发工程师,熟练掌握JSDK
Java开发工程师,精通JAVA
Java开发工程师,熟悉多线程编程
Java开发工程师,熟练掌握AJAX
Java开发工程师,熟练掌握JAVASCRIPT脚本编写
Java开发工程师,了解XML
Java开发工程师,熟练掌握数据库相关知识
AI算法工程师dy,熟练掌握C
AI算法工程师dy,熟悉Tensorflow
算法工程师,精通SQL
视觉算法工程师,熟悉图像处理算法
视觉算法工程师,精通C
视觉算法工程师,熟悉机器视觉常用硬件的原理
视觉算法工程师,熟练掌握使用
视觉算法工程师,熟练掌握
视觉算法工程师,精通C++
控制工程师,熟悉自动控制
控制工程师,熟悉Matlab
PHP开发工程师,熟悉至少一种PHP框架
PHP开发工程师,熟练掌握常用设计模式
PHP开发工程师,熟悉相关业务流程
Java开发工程师,精通java开发技术
Java开发工程师,熟练掌握微服务知识及相关技术框架
Java开发工程师,熟练掌握数据库原理
Java开发工程师,了解WEB前端开发
PHP开发工程师,熟悉PHP面向对象的设计方法
PHP开发工程师,熟练掌握使用PHP常用MVC框架
PHP开发工程师,精通PHP+MySQL编程
PHP开发工程师,熟练掌握使用Java
PHP开发工程师,熟悉至少一种主流开发框架及设计模式
PHP开发工程师,熟悉MySQL数据库应用开发
助听器研发工程师,熟练掌握使用pcb板画图软件
助听器研发工程师,了解数字助听器的行业标准和各参数指标
Java开发工程师,熟练掌握使用Oracle
Java开发工程师,熟练掌握常规的SQL语法
Java开发工程师,熟悉前端开发
Java开发工程师,熟悉多线程编程
Java开发工程师,了解消息队列
Java开发工程师,了解服务器安装部署和调试等操作
Java开发工程师,熟悉Maven
Java开发工程师,熟练掌握新知识
系统工程师,熟练掌握使用
系统工程师,熟悉常用数据库
网络安全工程师,了解公司工控安全系统的产品
网络安全工程师,了解及应用
PHP开发工程师,精通PHP+MYSQL开发
PHP开发工程师,熟悉HTML
PHP开发工程师,熟悉一个MVC框架
PHP开发工程师,熟悉Linux
Java开发工程师,熟悉面向对象思想
Java开发工程师,精通编程
Java开发工程师,熟悉J2EE
Java开发工程师,熟练掌握阅读
Java开发工程师,熟练掌握Java开发相关技术
Java开发工程师,熟悉J2EE开发
Java开发工程师,熟练掌握MySql
Java开发工程师,熟悉掌握SQL语句
Java开发工程师,熟练掌握使用Spring
Java开发工程师,熟悉Web前端技术
Java开发工程师,熟练掌握使用Git
Java开发工程师,熟悉Linux操作系统
.NET软件设计师,熟练掌握
.NET软件设计师,熟练掌握HTML
.NET软件设计师,熟练掌握机械相关专业知识
LABVIEW软件工程师,熟悉labview
LABVIEW软件工程师,熟练掌握使用西门子及三菱PLC编程
Java开发工程师,熟悉常用设计模式
区块链应用工程师,熟悉c
区块链应用工程师,熟悉密码学
区块链应用工程师,熟悉分布式
区块链应用工程师,熟悉Linux
区块链应用工程师,熟练掌握查询英文资料
解决方案工程师,熟悉主流产品
解决方案工程师,了解主流的x86服务器和网络设备
软件工程师,精通Java开发语言
软件工程师,熟悉SQL语言
嵌入式软件工程师,熟练掌握C语言开发
嵌入式软件工程师,熟练掌握使用主流开发工具
嵌入式软件工程师,熟悉单片机底层驱动
嵌入式软件工程师,熟练掌握一种或多种主流实时操作系统
嵌入式软件工程师,熟练掌握软件测试流程
ETL和报表开发工程师,熟悉Oracle数据库
ETL和报表开发工程师,熟练掌握SQL语言和存储过程的使用
ETL和报表开发工程师,熟悉Linux常用命令
ETL和报表开发工程师,熟悉shell脚本
ETL和报表开发工程师,熟悉Java
ETL和报表开发工程师,熟练掌握多种主流开源监控系统的部署及维护
测试工程师,熟练掌握的进行试验数据的统计分析
测试工程师,熟练掌握和理解新产品和技术
软件工程师,熟练掌握SQL
Android开发工程师,精通Android开发平台及框架原理
Android开发工程师,精通Java语言
Android开发工程师,熟练掌握使用
Node.js开发工程师,熟悉关系型数据库
Java开发工程师,熟悉开发
Java开发工程师,熟悉J2EE规范
Java开发工程师,熟悉常用设计模式
Java开发工程师,熟练掌握常用的J
Java开发工程师,熟练掌握使用MySQL
Java开发工程师,熟悉SVN的使用
Java开发工程师,熟悉Tomcat等开源的服务器
Java开发工程师,熟悉网络编程
大数据开发工程师,熟悉大数据开发相关技术
大数据开发工程师,熟练掌握使用
大数据开发工程师,熟悉SQL
UI设计师,了解掌握行业知识和行业流行趋势
图像算法工程师,熟练掌握C
图像算法工程师,熟悉Windows
图像算法工程师,熟悉图像处理
图像算法工程师,熟悉OpenCV
Java开发工程师,熟悉Spring
Java开发工程师,熟悉Tomcat
Java开发工程师,熟悉SQL
Java开发工程师,熟悉HTML5
Java开发工程师,熟悉团队开发
Java开发工程师,熟练掌握使用Maven
Java开发工程师,熟悉常用设计模式
软件开发工程师,熟练掌握JSP
软件开发工程师,熟练掌握应用SQL语言
Java开发工程师,熟悉单元测试
Java开发工程师,熟练掌握使用ORACLE
Java开发工程师,了解存储过程开发
Java开发工程师,熟悉Linux环境以及操作
Java开发工程师,熟悉Tomcat
Java开发工程师,熟悉HTML
自然语言算法工程师,了解Java
嵌入式软件工程师,精通C
嵌入式软件工程师,熟练掌握至少两门脚本语言
嵌入式软件工程师,熟练掌握多种进程通信机制
嵌入式软件工程师,精通gstreamer
嵌入式软件工程师,精通网络协议
嵌入式软件工程师,精通嵌入式C语言
嵌入式软件工程师,精通一种16位或32位嵌入式处理器
嵌入式软件工程师,熟悉以太网
iOS开发工程师,精通性能调优方法
iOS开发工程师,熟悉swift
iOS开发工程师,熟悉常用的数据结构和算法
iOS开发工程师,了解常用的网络协议
项目开发工程师,熟练掌握Oracle数据库
DBA运维工程师,熟悉大数据
DBA运维工程师,精通SQL
DBA运维工程师,熟练掌握Java
门禁软件开发工程师,熟练掌握C
门禁软件开发工程师,熟悉Linux开发环境
门禁软件开发工程师,熟练掌握Linux
Android开发工程师,熟练掌握
Android开发工程师,熟练掌握
GO开发工程师,熟练掌握Golang语言
GO开发工程师,熟练掌握MySQL数据库
GO开发工程师,熟悉一门
对日软件开发工程师,熟练掌握JAVA
实施工程师,熟悉Linux操作系统
实施工程师,熟练掌握
Android开发工程师,精通Android开发平台及框架
Android开发工程师,精通Android
Android开发工程师,熟悉多线程
监控运维工程师,熟练掌握其核心模块Omnibus
监控运维工程师,熟练掌握Linux操作系统及运行维护
支付框架工程师,精通Java
支付框架工程师,了解到它的原理和机制
支付框架工程师,熟练掌握springBoot
支付框架工程师,熟练掌握Bootstrap
APP开发工程师,熟悉微信开发流程
APP开发工程师,熟练掌握运用
资深java研发工程师,精通java编程
资深java研发工程师,精通sql编程
资深java研发工程师,熟悉mysql
QT软件工程师,熟悉C
QT软件工程师,熟悉QT编程
QT软件工程师,了解QT运行机制
QT软件工程师,熟悉Linux基本操作
QT软件工程师,了解多线程机制
Asp.net开发工程师,熟悉MVC框架
Asp.net开发工程师,精通C#语言
Asp.net开发工程师,熟练掌握使用Web开发相关的HTML
Asp.net开发工程师,熟悉SQL
Asp.net开发工程师,熟悉存储过程
Asp.net开发工程师,熟悉大数据量处理
Asp.net开发工程师,熟悉微信
Asp.net开发工程师,熟悉小程序开发
GO开发工程师,熟练掌握linux操作系统和常用命令
GO开发工程师,熟练掌握至少一门脚本语言
GO开发工程师,熟悉后
Web前端工程师,熟练掌握HTML
Web前端工程师,熟练掌握HTTP
Web前端工程师,熟练掌握二个以上工具类库
Web前端工程师,熟练掌握一个以上UI类前端框架
Web前端工程师,熟练掌握至少一种CSS预处理器
Web前端工程师,熟悉C
软件开发工程师,熟悉数据结构
软件开发工程师,熟悉Windows
.NET研发工程师,熟悉主流框架
.NET研发工程师,精通了解原理和机制C#
.NET研发工程师,熟悉.NET
.NET研发工程师,熟练掌握ASP.NET
.NET研发工程师,了解Winform
.NET研发工程师,熟悉Html
.NET研发工程师,熟悉Git
.NET研发工程师,熟悉SQL
.NET研发工程师,了解Redis
.NET研发工程师,熟悉.NET
C语言开发工程师,熟悉C
C语言开发工程师,了解8583报文
服务器运维工程师,熟悉阿里云
服务器运维工程师,熟悉云平台
服务器运维工程师,熟悉Java技术栈
服务器运维工程师,熟悉Nginx
服务器运维工程师,了解ELK
服务器运维工程师,了解Jenkins
嵌入式软件工程师,精通C语言编程
嵌入式软件工程师,熟悉C51
嵌入式软件工程师,熟悉STM8
嵌入式软件工程师,熟练掌握制图软件
嵌入式软件工程师,熟练掌握
算法工程师,了解行业需求和应用场景
算法工程师,熟练掌握数据挖掘和机器学习的常用算法
算法工程师,熟练掌握Python
前端开发工程师,熟悉Javascript
前端开发工程师,了解底层的基础原理
前端开发工程师,熟悉VUE
前端开发工程师,了解Html5
前端开发工程师,熟悉小程序开发
PHP开发工程师,熟悉PHP开发
PHP开发工程师,熟悉LNMP开发环境
PHP开发工程师,熟练掌握PHP面向对象编程
PHP开发工程师,熟悉mysql数据库开发
PHP开发工程师,熟悉SQL
PHP开发工程师,熟悉memcache
PHP开发工程师,熟练掌握使用Yii2
BI工程师,熟悉MySQL
BI工程师,熟悉SQL语言
BI工程师,熟悉大数据相关技术
BI工程师,了解Hadoop各组件的原理和实现
BI工程师,熟悉python
Web前端开发工程师,熟练掌握VUE前端框架
Web前端开发工程师,精通jquery等常用插件
Web前端开发工程师,熟练掌握git
Web前端开发工程师,熟悉webpack
Linux运维开发工程师,熟悉TCP
Linux运维开发工程师,熟悉网络
Linux运维开发工程师,熟练掌握使用Python
Linux运维开发工程师,熟悉自动化运维
ERP开发工程师,熟悉ERP
ERP开发工程师,熟悉SQL
ERP开发工程师,熟练掌握编写SQL语句
前端开发工程师,精通各种Web前端技术
前端开发工程师,熟练掌握使用
前端开发工程师,熟练掌握使用
前端开发工程师,熟悉Vue开发
前端开发工程师,了解Vue相关技术栈
前端开发工程师,熟悉GIS
软件开发工程师,熟练掌握运用
软件开发工程师,精通SQLServer或MYSQL
软件开发工程师,熟悉嵌入式开发
软件开发工程师,熟悉C
软件开发工程师,熟悉TCP
二次开发工程师,熟练掌握使用一种编程语言
二次开发工程师,熟悉一种以上脚本语言
二次开发工程师,熟练掌握使用办公软件
Node.js开发工程师,熟悉ES6标准
算法工程师,熟练掌握使用
算法工程师,熟练掌握至少一门快速原型的编程语言
算法工程师,熟练掌握使用机器学习框架
算法工程师,熟悉阿里云
算法工程师,了解工业领域的暖通与制冷系统
Python开发工程师,熟悉Python
Python开发工程师,熟悉HTTP协议
Python开发工程师,熟悉git
C#开发工程师,精通图形界面开发
C#开发工程师,熟悉网络编程
C#开发工程师,熟悉SQL
C#开发工程师,熟悉面向对象编程
Java架构师,熟练掌握主流微服务开源框架
Java架构师,熟悉MySQL数据库
Java架构师,精通高性能SQL语句编写和性能优化
Java架构师,了解NewSQL分布式数据库
Java架构师,熟悉缓存
Java架构师,精通微服务架构体系
Java架构师,了解目前技术及发展趋向
Web前端开发工程师,熟练掌握使用HTML
Web前端开发工程师,熟练掌握使用Jquery
Web前端开发工程师,熟悉bootstrap
Web前端开发工程师,熟练掌握新框架能力
Web前端开发工程师,精通html
Web前端开发工程师,熟练掌握运用各种前端框架
Web前端开发工程师,精通vue
VUE开发工程师,熟练掌握前端开发流程
VUE开发工程师,精通vue.js
VUE开发工程师,熟练掌握应用
VUE开发工程师,熟练掌握前端开发流程
VUE开发工程师,熟悉常用数据库
Java工程师,熟练掌握Java编程语言
Java工程师,熟练掌握SQL语法和关系数据库开发
Java工程师,熟悉Spring等开源框架
Java工程师,熟悉面向对象
Java工程师,熟练掌握数据结构与常用算法
交换机软件工程师,精通C
交换机软件工程师,熟悉网络
