,title,content
29,H5开发工程师,熟悉常见跨浏览器问题/了解必要的计算机网络协议/熟悉主流JavaScript框架和库/了解框架设计原理/熟练使用HTML5
30,软件开发工程师,熟悉Spring/熟悉vue/掌握一种数据库
31,软件工程师,掌握C++/熟练使用/熟悉网络知识/掌握网络socket编程
32,白盒测试工程师,精通Android开发/了解各类型游戏/掌握系统测试的方法与原理/熟悉一门/熟悉java语言
33,Web前端开发工程师,精通html/熟练编码代码/熟练掌握web标准
34,Java开发工程师,了解公司业务/精通Spring/熟练使用Mysql基本操作/熟悉大容量/了解微服务架构和云计算技术/熟练的使用Java开发环境/熟练的使用软件版本控制工具Git
35,Java开发工程师,熟悉JAVA/熟练使用SpringBoot/熟练使用mysql/熟悉SQL语法/熟练使用/了解Linux操作系统/熟练使用常用的linux命令
36,PHP开发工程师,了解主流PHP开发模板及框架/熟悉Nginx/熟悉MYSQL/熟悉常见的数据结构和算法
37,系统架构师,精通java/熟悉分布式/熟悉Web/熟悉oracle/熟练掌握linux
38,数据分析师,熟练掌握/熟练掌握MYSQL
39,音频驱动工程师,熟悉高通/熟悉高通/熟练使用
40,DB2工程师,熟练阅读理解相关英文技术资料
41,Java开发工程师,熟练使用SpringMVC/熟悉Oracle/熟悉Linux
42,前端开发工程师,熟练掌握HTML/熟悉webpack/熟练使用vue框架/熟悉git/熟悉微信
43,软件工程师,熟悉项目的需求规划说明/熟练应用多种JAVA设计模式/熟练应用/熟练掌握spring/掌握数据库/熟练掌握SQL查询优化
44,嵌入式软件工程师,熟练掌握
45,系统集成工程师,了解系统集成行业特征/熟练使用各类办公软件
46,Python开发工程师,熟练运用/掌握新技术
47,iOS开发工程师,熟练掌握/熟练掌握os下多线程操作/熟悉HTTP/熟练使用js/熟练掌握
48,嵌入式软件工程师,熟悉一种/熟练掌握C/掌握软件工程概念/熟悉软件开发/熟练掌握单元测试方法和工具
49,UI设计师,精通Photoshop
50,研发工程师,熟悉JSP/熟练掌握SQL/了解软件工程和项目管理流程
51,APP开发工程师,熟练使用/熟悉Android/掌握Android
52,安全审计工程师,熟悉大数据/熟悉数据分析
53,图书馆系统运维工程师,掌握基本的数据分析知识和数据分析软件
54,.net软件工程师,熟悉.NET/掌握运用/掌握C#语言/掌握SQL语言
55,算法工程师,熟悉Python/熟悉Numpy/精通C++/熟练掌握卡尔曼滤波算法/熟练使用OpenCV/熟悉深度学习
56,系统软件工程师,精通W/熟练掌握C++语言
57,Java开发工程师,精通Java语言/掌握HTML/掌握Spring/熟练使用MySQL/熟练使用和配置主流的应用服务器
58,Java开发工程师,熟悉视频/熟练使用Java常见框架/熟悉html/熟悉Web/熟悉Oracle
59,PHP开发工程师,掌握常用设计模式/了解linux操作系统/熟悉常用shell命令/了解PHP相关的开源框架和项目/熟悉nginx/掌握相关Web开发技术/熟悉mysql/掌握关系数据库理论/熟悉设计模式
60,运维工程师,熟悉SQL数据库
61,UI设计师,熟练应用
62,软件工程师,熟悉计算机体系结构
63,嵌入式软件工程师,精通C
64,Java开发工程师,熟悉面向对象设计开发/熟悉多线程程序开发/熟练掌握redis/熟练运用/熟悉spring
65,开发工程师,熟练掌握spring/熟悉微服务架构/熟练掌握java多线程编程/熟练使用/熟悉linux/了解redis/了解MongoDB等文档数据库/熟悉html/熟悉互联网
66,Java开发工程师,精通JAVA语言基础/熟练使用Spring/熟悉软件工程文档的编写/精通JAVA语言基础/熟练使用Spring/熟悉微服务框架和技术
67,图形图像工程师,精通C#/熟悉设计模式/熟悉计算机原理/掌握一种Shader语言
68,Java开发工程师,熟悉微服务架构/熟练掌握RSTful传输格式/熟练使用maven/熟练掌握sql
69,软件测试工程师,熟悉软件测试理论和方法/熟悉软件测试流程/熟悉SQL/熟悉一种
70,Python开发工程师,熟练使用Python/熟练掌握java
71,Java开发工程师,熟练使用Sql语言/熟练使用Oracle和Mysql/掌握基本的Sql优化/熟练使用Maven/精通Java语言/熟练使用SpringMVC/精通Mysql数据库/熟练使用Redis/熟练使用HTML/熟练使用
72,.NET软件开发工程师,熟练使用
73,Java开发工程师,了解计算机图形编程
74,Android开发工程师,熟悉常用的网络协议/熟悉Android各版本/熟悉UI/熟悉Android/熟悉Java语言
75,数据开发工程师,熟练运用linux系统/掌握商业智能/了解大数据平台架构与相关技术
76,.NET开发工程师,精通C#语言/熟悉.Net框架/熟练掌握/掌握socket/熟练掌握主流数据库/熟练编写SQL语句/熟悉SQL性能优化/熟悉数据结构/熟悉面向对象编程思想
77,iOS开发工程师,熟练掌握MVC架构模式及多种设计模式/精通iOS系统设计规范/熟悉无线网络应用开发/精通socket/熟悉iPhone/熟练阅读英文技术文档
78,Web前端开发工程师,熟悉HTML/熟悉react/熟练掌握组件化的开发方式/熟悉前后端分离/熟悉微信小程序
79,BI工程师,熟悉mysql等数据库
80,系统架构师,熟悉微服务架构/精通Struts/掌握HTML/熟悉Dubbo/熟悉开源框架/熟悉分布式/熟练应用Zookeeper
81,Android开发工程师,熟悉Android平台UI设计/熟悉常用布局/熟练使用/熟悉Js/熟悉使用第三方SDK的使用/熟悉Android系统架构及相关技术
82,iOS开发工程师,熟悉IO/熟悉蓝牙
83,WEBGL三维工程师,熟练掌握WebGL的开发/精通原生JavaScript开发/熟悉三维图形图像的理论基础
84,Web前端开发工程师,了解JavaScript语言/熟悉Vue
85,系统架构师,精通数据结构/掌握主流开发工具和开发技能/熟练操作
86,软件工程师,熟悉基于微软平台的解决方案/熟悉项目管理基本流程/熟悉软件开发流程/熟练使用/精通C#语言/熟悉mvc/精通Oracle/熟练掌握SQL语法
87,自然语言处理工程师,精通C++/熟练使用/熟练掌握
88,云计算研发工程师,熟练掌握系统软件的设计开发工作/熟练掌握Java/熟练掌握/熟悉敏捷软件开发流程
89,三维开发工程师,精通图形学原理和三维几何/熟悉面向对象编程/熟悉设计模式/熟练掌握shader编程/了解常用的三维格式数据的处理
90,软件测试工程师,熟练掌握/熟悉Linux系统基本操作命令/掌握数据库基本的SQL语句/熟练掌握
91,Java开发工程师,熟练掌握SSM等主流开发框架/熟悉Ajax/熟悉Js/熟练使用Tomcat/熟悉服务器/熟悉MySql等数据库
92,数据分析师,熟悉MySql/熟悉Hadoop
93,前端架构师,熟练地进行页面维护/熟练掌握各种Web前端技术/熟练使用angular
94,Java开发工程师,熟悉SOA/精通Java/熟练使用SQL/掌握PHP
95,Java开发工程师,熟悉JAVA/熟悉阿里云/精通MySQL/精通NoSQL/熟练掌握分布式通讯框架/掌握通讯的相关知识/熟练掌握linux
96,软件应用工程师,熟悉TCP/熟悉ROS
97,系统工程师,熟悉VMWare/熟悉网络/了解Oracle/了解SQL语言/了解JAVA
98,嵌入式微处理器软件工程师,熟悉32bit单片机体系架构
99,Java开发工程师,熟练掌握Linux/熟悉分布式计算和存储/熟悉多线程高性能系统的设计/熟悉mysql
100,系统工程师,熟练操作
101,.NET开发工程师,精通c#/熟练使用js/熟悉Oracle/熟练使用
102,系统架构师,精通物联网技术原理/熟悉物联网相关技术趋势/了解多种传感器的工作方式/熟悉无线传感网络/了解各种通讯网络的传输协议/精通主流的大数据及云计算核心技术
103,微服务运维工程师,熟悉Linux系统/熟悉常用数据库/熟练使用/熟悉Jenkins/掌握docker/了解基本的网络知识/熟悉持续集成
104,Java软件工程师,熟悉Java/熟悉Spring
105,前端开发工程师,熟悉HTML5/了解浏览器兼容及网页优化/熟悉jQuery/掌握一种热门前端框架/掌握较深/熟悉Node.js
106,Python开发工程师,精通Python/熟悉Python/熟悉常见关系型数据库
107,UI设计师,了解当代领先的平面设计趋势/熟练掌握设计工具
108,软件测试工程师,熟练软件测试/熟悉软件开发和测试流程/熟悉HTTP协议/熟悉测试/熟悉Maven/了解中医药行业业务
109,安卓开发工程师,熟悉Android
110,软件工程师,熟悉.net平台/熟悉MVC/熟悉SqlServer/熟悉ORM/熟悉TCP/了解工业控制类硬件相关知识
111,Python少儿编程老师,掌握Python
112,图像算法工程师,熟悉C/熟练应用/熟练运用matlab进行算法验证/熟练掌握
113,Java开发工程师,熟练掌握springboot/熟练掌握nginx部署/熟练掌握设计模式/熟悉前后端开发/熟悉vue.js开发
114,Java开发工程师,掌握JSDK/精通JAVA/熟悉多线程编程/熟练掌握AJAX/熟练掌握JAVASCRIPT脚本编写/了解XML/掌握数据库相关知识
115,AI算法工程师dy,熟练掌握C/熟悉Tensorflow
116,算法工程师,精通SQL
117,视觉算法工程师,熟悉图像处理算法/精通C/熟悉机器视觉常用硬件的原理/熟练使用/熟练掌握/精通C++
118,控制工程师,熟悉自动控制/熟悉Matlab
119,PHP开发工程师,熟悉至少一种PHP框架/掌握常用设计模式/熟悉相关业务流程
120,Java开发工程师,精通java开发技术/掌握微服务知识及相关技术框架/掌握数据库原理/了解WEB前端开发
121,PHP开发工程师,熟悉PHP面向对象的设计方法/熟练使用PHP常用MVC框架/精通PHP+MySQL编程/熟练使用Java/熟悉至少一种主流开发框架及设计模式/熟悉MySQL数据库应用开发
122,助听器研发工程师,熟练使用pcb板画图软件/了解数字助听器的行业标准和各参数指标
123,Java开发工程师,熟练使用Oracle/掌握常规的SQL语法/熟悉前端开发/熟悉多线程编程/了解消息队列/了解服务器安装部署和调试等操作/熟悉Maven/掌握新知识
124,系统工程师,熟练使用/熟悉常用数据库
125,网络安全工程师,了解公司工控安全系统的产品/了解及应用
126,PHP开发工程师,精通PHP+MYSQL开发/熟悉HTML/熟悉一个MVC框架/熟悉Linux
127,Java开发工程师,熟悉面向对象思想/精通编程/熟悉J2EE/熟练阅读
128,Java开发工程师,熟练掌握Java开发相关技术/熟悉J2EE开发/熟练掌握MySql/熟悉掌握SQL语句/熟练使用Spring/熟悉Web前端技术/熟练使用Git/熟悉Linux操作系统
129,.NET软件设计师,熟练掌握/熟练掌握HTML/掌握机械相关专业知识
130,LABVIEW软件工程师,熟悉labview/熟练使用西门子及三菱PLC编程
131,Java开发工程师,熟悉常用设计模式
132,区块链应用工程师,熟悉c/熟悉密码学/熟悉分布式/熟悉Linux/熟练查询英文资料
133,解决方案工程师,熟悉主流产品/了解主流的x86服务器和网络设备
134,软件工程师,精通Java开发语言/熟悉SQL语言
135,嵌入式软件工程师,熟练掌握C语言开发/熟练使用主流开发工具/熟悉单片机底层驱动/熟练掌握一种或多种主流实时操作系统/熟练掌握软件测试流程
136,ETL和报表开发工程师,熟悉Oracle数据库/熟练掌握SQL语言和存储过程的使用/熟悉Linux常用命令/熟悉shell脚本/熟悉Java/掌握多种主流开源监控系统的部署及维护
137,测试工程师,熟练的进行试验数据的统计分析/掌握和理解新产品和技术
138,软件工程师,熟练SQL
139,Android开发工程师,精通Android开发平台及框架原理/精通Java语言/熟练使用
140,Node.js开发工程师,熟悉关系型数据库
141,Java开发工程师,熟悉开发/熟悉J2EE规范/熟悉常用设计模式/熟练掌握常用的J/熟练使用MySQL/熟悉SVN的使用/熟悉Tomcat等开源的服务器/熟悉网络编程
142,大数据开发工程师,熟悉大数据开发相关技术/熟练使用/熟悉SQL
143,UI设计师,掌握行业知识和了解行业流行趋势
144,图像算法工程师,熟练掌握C/熟悉Windows/熟悉图像处理/熟悉OpenCV
145,Java开发工程师,熟悉Spring/熟悉Tomcat/熟悉SQL/熟悉HTML5/熟悉团队开发/熟练使用Maven/熟悉常用设计模式
146,软件开发工程师,熟练掌握JSP/熟练应用SQL语言
147,Java开发工程师,熟悉单元测试/熟练使用ORACLE/了解存储过程开发/熟悉Linux环境以及操作/熟悉Tomcat/熟悉HTML
148,自然语言算法工程师,了解Java
149,嵌入式软件工程师,精通C/掌握至少两门脚本语言/掌握多种进程通信机制/精通gstreamer/精通网络协议
150,嵌入式软件工程师,精通嵌入式C语言/精通一种16位或32位嵌入式处理器/熟悉以太网
151,iOS开发工程师,精通性能调优方法/熟悉swift/熟悉常用的数据结构和算法/了解常用的网络协议
152,项目开发工程师,熟练掌握Oracle数据库
153,DBA运维工程师,熟悉大数据/精通SQL/熟练掌握Java
154,门禁软件开发工程师,熟练掌握C/熟悉Linux开发环境/掌握Linux
155,Android开发工程师,熟练掌握/熟练掌握
156,GO开发工程师,熟练掌握Golang语言/熟练掌握MySQL数据库/熟悉一门
157,对日软件开发工程师,掌握JAVA
158,实施工程师,熟悉Linux操作系统/熟练掌握
159,Android开发工程师,精通Android开发平台及框架/精通Android/熟悉多线程
160,监控运维工程师,熟练掌握其核心模块Omnibus/掌握Linux操作系统及运行维护
161,支付框架工程师,精通Java/了解到它的原理和机制/熟练springBoot/熟练Bootstrap
162,APP开发工程师,熟悉微信开发流程/熟练运用
163,资深java研发工程师,精通java编程/精通sql编程/熟悉mysql
164,QT软件工程师,熟悉C/熟悉QT编程/了解QT运行机制/熟悉Linux基本操作/了解多线程机制
165,Asp.net开发工程师,熟悉MVC框架/精通C#语言/熟练使用Web开发相关的HTML/熟悉SQL/熟悉存储过程/熟悉大数据量处理/熟悉微信/熟悉小程序开发
166,GO开发工程师,熟练linux操作系统和常用命令/掌握至少一门脚本语言/熟悉后
167,Web前端工程师,熟练掌握HTML/熟练掌握HTTP/熟练掌握二个以上工具类库/熟练掌握一个以上UI类前端框架/熟练掌握至少一种CSS预处理器/熟悉C
168,软件开发工程师,熟悉数据结构/熟悉Windows
169,.NET研发工程师,熟悉主流框架/了解原理和机制精通C#/熟悉.NET/熟练掌握ASP.NET/了解Winform/熟悉Html/熟悉Git/熟悉SQL/了解Redis/熟悉.NET
170,C语言开发工程师,熟悉C/了解8583报文
171,服务器运维工程师,熟悉阿里云/熟悉云平台/熟悉Java技术栈/熟悉Nginx/了解ELK/了解Jenkins
172,嵌入式软件工程师,精通C语言编程/熟悉C51/熟悉STM8/熟练制图软件/熟练掌握
173,算法工程师,了解行业需求和应用场景/熟练掌握数据挖掘和机器学习的常用算法/熟练掌握Python
174,前端开发工程师,熟悉Javascript/了解底层的基础原理/熟悉VUE/了解Html5/熟悉小程序开发
175,PHP开发工程师,熟悉PHP开发/熟悉LNMP开发环境/熟练掌握PHP面向对象编程/熟悉mysql数据库开发/熟悉SQL/熟悉memcache/熟练使用Yii2
176,BI工程师,熟悉MySQL/熟悉SQL语言/熟悉大数据相关技术/了解Hadoop各组件的原理和实现/熟悉python
177,Web前端开发工程师,熟练掌握VUE前端框架/精通jquery等常用插件/熟练掌握git/熟悉webpack
178,Linux运维开发工程师,熟悉TCP/熟悉网络/熟练使用Python/熟悉自动化运维
179,ERP开发工程师,熟悉ERP/熟悉SQL/熟练编写SQL语句
180,前端开发工程师,精通各种Web前端技术/熟练使用/熟练使用/熟悉Vue开发/了解Vue相关技术栈/熟悉GIS
181,软件开发工程师,熟练运用/精通SQLServer或MYSQL/熟悉嵌入式开发/熟悉C/熟悉TCP
182,二次开发工程师,熟练使用一种编程语言/熟悉一种以上脚本语言/熟练使用办公软件
183,Node.js开发工程师,熟悉ES6标准
184,算法工程师,熟练使用/熟练掌握至少一门快速原型的编程语言/熟练使用机器学习框架/熟悉阿里云/了解工业领域的暖通与制冷系统
185,Python开发工程师,熟悉Python/熟悉HTTP协议/熟悉git
186,C#开发工程师,精通图形界面开发/熟悉网络编程/熟悉SQL/熟悉面向对象编程
187,Java架构师,掌握主流微服务开源框架/熟悉MySQL数据库/精通高性能SQL语句编写和性能优化/了解NewSQL分布式数据库/熟悉缓存/精通微服务架构体系/了解目前技术及发展趋向
188,Web前端开发工程师,熟练使用HTML/熟练使用Jquery/熟悉bootstrap/掌握新框架能力/精通html/熟练运用各种前端框架/精通vue
189,VUE开发工程师,掌握前端开发流程/精通vue.js/熟练应用/掌握前端开发流程/熟悉常用数据库
190,Java工程师,熟练掌握Java编程语言/熟练掌握SQL语法和关系数据库开发/熟悉Spring等开源框架/熟悉面向对象/掌握数据结构与常用算法
191,交换机软件工程师,精通C/熟悉网络/熟悉交换机
192,应用软件工程师,熟悉平台运动控制技术/熟悉图像处理技术
193,系统运维工程师,精通主流数据库/精通主流数据库
194,软件质量工程师,精通软件质量管理工作/熟悉质量管理体系/熟悉SVN/熟悉Scrum/掌握质量管理相关的统计分析方法和工具/掌握软件工程传统开发过程和敏捷开发
195,JAVA软件工程师,熟练使用Jfinal/熟练使用Tomcat/熟练掌握MySQL/熟练SQL语言/熟悉前后端分离/熟悉Ajax/熟悉HTTP
196,嵌入式软件工程师,精通C/熟悉嵌入式开发/熟悉嵌入式开发环境/熟悉Linux嵌入式操作系统/熟悉常用设备驱动开发/熟悉ARM
197,图像算法工程师,精通C++
198,游戏UI设计师,了解产品/精通UI编辑器并掌握该岗位所需软件
199,视觉算法工程师,熟悉机器视觉/熟悉嵌入式软件开发/精通C++和OpenCV
200,UI设计师,精通各种视觉效果的呈现/熟练使用UI设计必备的专业软件
201,.NET开发工程师,熟练掌握.NET/熟悉掌握数据库编程/熟悉SQL/熟悉掌握/了解面向对象的开发思维
202,安防工程师,熟悉视频
203,软件开发工程师,精通MS/熟悉小程序
204,软件工程师,熟练使用C/熟悉Linux
205,运维工程师,熟悉Linux系统/熟悉Docker容器技术
206,软件工程师,熟悉c++
207,人工智能研发工程师,熟悉MySQL
208,Web前端开发工程师,熟练构建移动端web页面/熟练运用js面对对象编程模式/熟悉grunt/了解后端模板/了解一些后端的专业术语/熟悉node
209,系统架构师,精通Java语言/熟练掌握常用的Java设计模式/精通微服务架构设计/熟练使用Spring/熟练应用/熟悉bootstrap/熟悉项目管理
210,Android开发工程师,熟练使用/精通Android界面开发
211,web前端开发工程师,熟练使用html5/熟练使用vue和react框架
212,Java服务端开发工程师,精通java/熟悉spring/熟悉java/熟悉并发编程/熟悉java
213,嵌入式软件工程师,精通C语言/精通ARM/精通嵌入式操作系统/熟悉网络通信/了解TCP/了解嵌入式WEB开发/熟悉软件设计模式/熟悉UML
214,Android开发工程师,熟悉Android/熟悉makefile/熟悉shell脚本/熟悉git
215,系统运维工程师,熟练使用linux下各种常用命令/熟练掌握
216,前端开发工程师,了解后端技术实现/熟练掌握/熟练使用ES6语言/了解ES的标准与语法/熟悉React/熟悉npm包管理/掌握前端构建工具
217,PHP开发工程师,精通PHP语言/了解多种开源框架/熟练一种框架/熟悉mysql/熟练掌握一种数据库/了解常用Linux命令/熟悉LAMP/熟悉MVC模式开发/熟悉OOP的设计方法
218,音视频编解码工程师,精通C/熟悉网络编程/熟悉多线程编程/熟悉Linux系统/熟悉视频
219,ERP实施工程师,掌握公司产品知识
220,Java开发工程师,熟练使用J2EE/熟悉SpringBoot/熟练使用Oracle/熟悉RabbitMQ/熟悉SVN/熟练使用linux常用工具/熟练服务器部署相关操作/精通spring/熟悉UML建模/熟悉主流的架构设计方法/熟悉JDBC
221,软件开发工程师,熟悉C/了解GIS等格式地图开发/了解MongoDB
222,JAVA后端开发工程师,精通linux/掌握Spring/掌握分布式开发经技术/熟练掌握HTML/熟悉AJAX/精通数据库技术/精通SQLServer
223,Java开发工程师,精通Java/熟悉Spring/熟悉分布式
224,PHP开发工程师,精通PHP语言特点及运行机制/精通MySQL/熟悉常用的MySQL调优方案/熟悉各种WEB缓存技术/了解各自的优缺点以及使用场景/熟练Jquery/熟练HTTP原理/了解TCP/了解Socket编程/熟练微信公众平台接口应用/熟练掌握
225,虚拟化运维工程师,精通Linux操作系统/熟悉shell或python编程/精通OpenStack整体架构/精通KVM虚拟化/熟悉MySQL/熟悉nginx
226,Android开发工程师,精通Android开发平台及框架原理/了解操作系统原理/掌握常见的数据结构和算法/熟练掌握java语言/精通多线程/熟悉TCP/熟悉常用的设计模式
227,软件系统工程师,精通网络协议和网络设备常用的应用协议/精通网络通信相关软件和原理
228,软件工程师,熟练掌握C++语言/熟练掌握常用数据结构及其算法/熟悉多线程/熟悉MySQL/熟悉TCP
229,数据分析工程师,熟悉主流数据库/了解大数据平台/熟练掌握Java
230,嵌入式软件工程师,精通C/了解二三层转发原理
231,QT软件开发工程师,精通C++内存分配模式/精通QT框架/精通QT的UI自定义开发/掌握代码重构的技能/熟悉SVN/精通网络通讯与多线程技术/熟悉sql
232,Shader编程工程师,掌握网络/熟练运用/了解常见图形图像处理算法/了解如图像OpenCV库等
233,.NET开发工程师,精通.Net/精通socket通讯/了解过海量的数据快速存储和查询
234,后端开发工程师,熟练使用mybatis
235,嵌入式软件工程师,熟练掌握C/熟练掌握Linux平台
236,FPGA逻辑开发工程师,精通matlab/熟练使用/熟悉通信原理
237,测试工程师,熟练的编写测试用例/熟悉MySQL/熟练使用接口及性能测试工具
238,软件工程师,精通C/熟悉Linux嵌入式操作系统/熟悉嵌入式驱动开发
239,机械设计工程师,熟练使用Office/了解各种传感且应用
240,U3D工程师,熟练掌握C++编程语言
241,微信小程序开发工程师,熟悉微信平台接口/熟悉微信生态及微信小程序生态/精通前端基本技术/熟练掌握至少一种常用前端框架/熟悉HTTP协议/了解TCP/熟悉各种Web标准规范
242,机器视觉工程师,精通机器视觉硬件选型/熟悉halcon/熟悉机器视觉/精通C++或C#开发平台
243,IOS开发工程师,熟练掌握
244,资深前端工程师,精通各种Web前端技术/熟练使用一门非前端脚本语言
245,嵌入式软件工程师,熟练掌握C/熟悉Linux/熟悉Linux内核/掌握Uboot/熟悉I2C
246,前端小程序开发工程师,熟练运用HTML/熟练运用前端js框架/熟悉微信小程序开发/掌握新知识
247,iOS开发工程师,熟练应用SVN和注重工作流程/熟练掌握OC/了解移动互联网相关技术热爱编程工作/熟悉iPhone/熟悉SVN
248,Linux驱动工程师,精通C语言/熟练掌握交叉编译环境/熟悉Linux/熟悉一种单片机
249,网管软件开发工程师,掌握WEB开发相关技术/熟练使用html/精通Java开发语言/熟练使用spring/熟练使用MySQL/掌握SQL优化能力
250,前端开发工程师,熟练掌握HTML5/熟悉Vue/熟练运用/熟练运用/熟悉w3c标准/熟悉flex布局
251,PHP开发工程师,熟悉MVC开发模式/熟练使用PHP语言/熟练YII2框架/熟悉MySQL数据库/熟悉Linux常用指令/熟悉Git
252,数据可视化开发工程师,精通web前端技术/掌握一个开源数据可视化库和技术/熟悉web
253,项目实施工程师,熟悉SQL语言/掌握Oracle
254,Java开发工程师,熟悉Java/熟悉Hibernate/熟悉IO/熟练掌握Spring/熟悉分布式开发/了解负载均衡/熟悉常用的设计模式
255,Java开发工程师,精通常见前端框架/熟悉Spring/熟练使用MySQL
256,售前工程师,掌握用户需求
257,遥感应用工程师,熟练使用/熟练使用一门编程语言
258,Web前端开发工程师,熟练掌握JavaScript/熟悉Vue
259,软件工程师,熟悉Labview/精通运动控制/熟悉运动控制卡/熟悉机器视觉
260,Java开发工程师,精通Spring/熟悉Struts2/熟悉Socket通讯/了解多线程
261,iOS开发工程师,熟练掌握/熟悉移动终端网络编程/熟悉xml
262,Java开发工程师,熟悉Java设计模式/熟悉mysql数据库/熟练使用sql语句/熟悉spring/熟练使用/熟悉Linux操作
263,JAVA软件工程师,熟悉和掌握新的业务知识和新技术/精通Java/熟练掌握SSH/熟练使用html/熟练掌握Vue/熟练使用jquery/熟练sql使用/熟悉Oracle/了解redis/熟练使用Eclipse/熟练使用Tomcat
264,软件工程师,熟悉C++/熟悉设计模式
265,视觉算法工程师,熟练使用C/熟悉机器视觉/熟悉产品开发流程
266,量化交易系统开发工程师,熟悉python语言/熟悉mysql/精通网络编程
267,后端开发工程师S0202,精通C/了解网络编程基本原理/熟悉Linux常用命令/熟悉mysql
268,软件UI工程师,精通Photoshop/熟悉互联网产品
269,Java开发工程师,精通JAVA程序开发/熟悉多线程开发/熟悉面向对象的开发方法/熟悉J2EE技术体系/精通Spring/熟练使用各种关系数据库/熟悉一种/熟练掌握/熟悉HTML/熟悉数据库技术
270,Web前端开发工程师,精通JavaScript/熟练使用Vue.js前端框架/了解webpack等打包工具/熟悉NodeJS/熟悉微信小程序/熟练使用svn
271,APP软件开发工程师,熟练开发/熟悉移动端
272,微信小程序开发工程师,熟悉微信生态及微信小程序生态/精通前端基本技术/熟练掌握至少一种常用前端框架/熟悉HTTP协议/了解TCP/熟悉各种Web标准规范
273,需求工程师,了解软件开发项目管理过程/熟悉数据库原理
274,ERP财务实施工程师,熟悉SQL
275,产品运维兼开发工程师,精通linux常用的运维命令/精通git工具/熟悉CI
276,研发工程师,熟练掌握js/熟悉node/熟练掌握网络原理/熟悉数据结构
277,前端开发工程师,掌握一种以上的服务器端语言/精通Javascript/熟悉CSS/熟悉React/了解底层原理/熟悉OO/了解git-flow/熟悉微信公众号/熟悉Android
278,Android开发工程师,熟悉MTK
279,软件工程师,熟悉.NET框架
280,上位机软件工程师,精通C#和python开发工作/熟练掌握RS232/熟练掌握Labview/熟练编写存储过程/精通sql
281,嵌入式软件工程师,精通C语言编程/熟练使用相应的单片机C语言/了解基本的软硬件开发流程/熟悉基本硬件原理知识/熟练使用万用表/熟练阅读英文技术文档
282,Android开发工程师,精通Java编程语言/熟悉kotlin/熟悉主流的开源组件以及框架/熟练使用/精通Android的线程机制/熟练使用/熟悉Android/熟悉JNI/精通Android性能优化
